,Theme,Nudges
313,Single-Use Plastic Reduced,Prefer using non-plastic eco-friendly cutlery during gatherings and events Use non-plastic eco-friendly cutlery during gatherings/events
314,Single-Use Plastic Reduced,Prefer using non-plastic eco-friendly cutlery during gatherings and events #SayNoToSUP
315,Single-Use Plastic Reduced,"Reuse glass containers/ packaging plastic items as storage boxes Importance of reducing, reusing and recycling plastic waste"
319,Single-Use Plastic Reduced,"Reuse glass containers/ packaging plastic items as storage boxes NSS Unit of Ramanujan College organized a session on the importance of reducing, reusing and recycling plastic waste"
320,Water Saved,"Reuse water drained out from AC/RO for cleaning utensils, watering plants and others RMNH, Bhopal- @NMNHIndia @moefcc organised Green Talk, Video Presentation through Kiosk and Signature Campaign to create Awareness on LiFE: Lifestyle For Environment under #LiFEMission on 24th March, 2023 #ChooseLiFE #ProPlanetPeople"
322,Water Saved,"Reuse water drained out from AC/RO for cleaning utensils, watering plants and others RMNH, Bhopal- @NMNHIndia @moefcc organised Green Talk, Video Presentation through Kiosk and Signature Campaign to create Awareness on LiFE: Lifestyle For Environment under #LiFEMission on 14th April, 2023. #ChooseLiFE #ProPlanetPeople"
324,Water Saved,"Reuse water from washed vegetables to water plants and other purpose RMNH, Bhopal- @NMNHIndia @moefcc organised Green Green Talk, Video Presentation through Kiosk and Signature Campaign to create Awareness on LiFE: Lifestyle For Environment under #LiFEMission on 31st March, 2023 #ChooseLiFE #ProPlanetPeople"
325,Water Saved,"Reuse water from washed vegetables to water plants and other purpose RMNH, Bhopal- @NMNHIndia @moefcc organised Green Talk, Video Presentation through Kiosk and Signature Campaign to create Awareness on LiFE: Lifestyle For Environment under #LiFEMission on 06th April, 2023. #ChooseLiFE #ProPlanetPeople"
326,Water Saved,"Reuse water from washed vegetables to water plants and other purpose RMNH, Bhopal- @NMNHIndia @moefcc organised Green Talk, Video Presentation through Kiosk and Signature Campaign to create Awareness on LiFE: Lifestyle For Environment under #LiFEMission on 25th March, 2023 #ChooseLiFE #ProPlanetPeople"
329,Water Saved,Reuse water from washed vegetables to water plants and other purpose Reuse water from washed vegetables to water plants/other purposes
330,Water Saved,"Reuse water from washed vegetables to water plants and other purpose RMNH, Bhopal- @NMNHIndia @moefcc organised Green Pledge, Green Talk, Video Presentation through Kiosk and Signature Campaign to create Awareness on LiFE: Lifestyle For Environment under #LiFEMission on 02nd April, 2023 #ChooseLiFE #ProPlanetPeople"
332,Water Saved,"Reuse water from washed vegetables to water plants and other purpose RMNH Mysore, @NMNHIndia - @moefcc organised Green Talk/interaction on #Mission LiFE - Lifestyle for Environment on 11th March 2023 in which 182 students and general public participated #ChooseLiFE #ProPlanetPeople"
333,Water Saved,Reuse water from washed vegetables to water plants and other purpose Green Talk/interaction on #Mission LiFE
334,Water Saved,Reuse water from washed vegetables to water plants and other purpose Water is essential! Save it now.
335,Water Saved,"Reuse water from washed vegetables to water plants and other purpose RMNH, Bhopal- @NMNHIndia @moefcc organised Green Talk, Video Presentation through Kiosk and Signature Campaign to create Awareness on LiFE: Lifestyle For Environment under #LiFEMission on 4th April, 2023 #ChooseLiFE #ProPlanetPeople"
